ts,id.orig_h,id.orig_p,id.resp_p,proto,conn_state,label,detailed-label
1525879831.015811,192.168.100.103,51524,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879831.025055,192.168.100.103,56305,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879831.045045,192.168.100.103,41101,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879832.01624,192.168.100.103,60905,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879832.024985,192.168.100.103,44301,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879832.044975,192.168.100.103,50244,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879833.016171,192.168.100.103,34243,49560,tcp,S0,Benign,-
1525879833.044906,192.168.100.103,34840,21288,tcp,S0,Benign,-
1525879834.024847,192.168.100.103,58525,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879834.045086,192.168.100.103,43849,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879836.044966,192.168.100.103,40973,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879837.005652,192.168.100.103,52259,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879838.006081,192.168.100.103,42207,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879838.024838,192.168.100.103,51524,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879839.006262,192.168.100.103,40459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879839.025003,192.168.100.103,60905,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879839.044992,192.168.100.103,56305,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879840.024934,192.168.100.103,34243,49560,tcp,S0,Benign,-
1525879840.044922,192.168.100.103,44301,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879841.005875,192.168.100.103,39813,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879842.045068,192.168.100.103,58525,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879844.014931,192.168.100.103,52259,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879845.0056,192.168.100.103,52482,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879846.006029,192.168.100.103,49307,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879846.015025,192.168.100.103,40459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879846.045008,192.168.100.103,51524,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879847.005961,192.168.100.103,52702,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879847.044956,192.168.100.103,60905,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879848.006142,192.168.100.103,40485,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879848.01489,192.168.100.103,39813,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879848.044871,192.168.100.103,34243,49560,tcp,S0,Benign,-
1525879849.006323,192.168.100.103,48469,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879850.006254,192.168.100.103,55730,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879851.006185,192.168.100.103,50261,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879852.006366,192.168.100.103,40229,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879852.014862,192.168.100.103,52482,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879852.045094,192.168.100.103,52259,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879853.006297,192.168.100.103,33032,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879853.015045,192.168.100.103,49307,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879854.014976,192.168.100.103,52702,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879854.044959,192.168.100.103,40459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
